Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-29 23:56:58.332,114256.5,0.002,BTCUSDT
2025-09-29 23:56:58.332,114256.8,0.002,BTCUSDT
2025-09-29 23:56:58.332,114257.0,0.002,BTCUSDT
2025-09-29 23:56:58.332,114257.0,0.003,BTCUSDT
2025-09-29 23:56:58.332,114257.6,0.001,BTCUSDT
2025-09-29 23:56:58.334,114257.6,0.001,BTCUSDT
2025-09-29 23:56:58.334,114257.6,0.001,BTCUSDT
2025-09-29 23:56:58.339,114257.8,0.002,BTCUSDT
2025-09-29 23:56:58.339,114257.8,0.002,BTCUSDT
2025-09-29 23:56:58.339,114257.8,0.001,BTCUSDT
2025-09-29 23:56:58.339,114257.8,0.001,BTCUSDT
2025-09-29 23:56:58.341,114257.8,0.001,BTCUSDT
2025-09-29 23:56:58.341,114257.8,0.001,BTCUSDT
2025-09-29 23:56:58.341,114257.8,0.001,BTCUSDT
2025-09-29 23:56:58.341,114257.8,0.001,BTCUSDT
2025-09-29 23:56:58.341,114257.8,0.001,BTCUSDT
2025-09-29 23:56:58.341,114257.8,0.001,BTCUSDT
2025-09-29 23:56:58.341,114257.9,0.001,BTCUSDT
2025-09-29 23:56:58.349,114258.0,0.003,BTCUSDT
2025-09-29 23:56:58.429,114258.0,0.097,BTCUSDT
2025-09-29 23:56:58.429,114258.0,0.1,BTCUSDT
2025-09-29 23:56:58.429,114258.0,0.2,BTCUSDT
2025-09-29 23:56:58.429,114258.0,0.001,BTCUSDT
2025-09-29 23:56:58.429,114258.0,0.001,BTCUSDT
2025-09-29 23:56:58.429,114258.0,0.35,BTCUSDT
2025-09-29 23:56:58.429,114258.0,0.019,BTCUSDT
2025-09-29 23:56:58.429,114258.0,0.007,BTCUSDT
2025-09-29 23:56:58.429,114258.0,0.014,BTCUSDT
2025-09-29 23:56:58.429,114258.0,0.002,BTCUSDT
2025-09-29 23:56:58.429,114258.0,0.003,BTCUSDT
2025-09-29 23:56:58.429,114258.0,0.007,BTCUSDT
2025-09-29 23:56:58.429,114258.0,0.003,BTCUSDT
2025-09-29 23:56:58.429,114258.1,0.001,BTCUSDT
2025-09-29 23:56:58.429,114258.1,0.001,BTCUSDT
2025-09-29 23:56:58.429,114258.1,0.001,BTCUSDT
2025-09-29 23:56:58.429,114258.5,0.017,BTCUSDT
2025-09-29 23:56:58.434,114258.6,0.621,BTCUSDT
2025-09-29 23:56:58.435,114258.6,0.277,BTCUSDT
2025-09-29 23:56:58.435,114258.6,0.323,BTCUSDT
2025-09-29 23:56:58.435,114258.6,0.012,BTCUSDT
2025-09-29 23:56:58.435,114258.6,0.056,BTCUSDT
2025-09-29 23:56:58.436,114258.6,0.155,BTCUSDT
2025-09-29 23:56:58.437,114258.6,0.051,BTCUSDT
2025-09-29 23:56:58.440,114258.6,2.163,BTCUSDT
2025-09-29 23:56:58.442,114258.6,0.03,BTCUSDT
2025-09-29 23:56:58.442,114258.6,0.004,BTCUSDT
2025-09-29 23:56:58.442,114258.6,0.002,BTCUSDT
2025-09-29 23:56:58.442,114258.6,0.001,BTCUSDT
2025-09-29 23:56:58.442,114258.6,0.004,BTCUSDT
2025-09-29 23:56:58.442,114258.6,0.008,BTCUSDT
2025-09-29 23:56:58.442,114258.6,0.001,BTCUSDT
2025-09-29 23:56:58.442,114258.6,0.001,BTCUSDT
2025-09-29 23:56:58.442,114258.6,0.002,BTCUSDT
2025-09-29 23:56:58.442,114258.6,0.116,BTCUSDT
2025-09-29 23:56:58.442,114258.7,0.001,BTCUSDT
2025-09-29 23:56:58.442,114258.7,0.003,BTCUSDT
2025-09-29 23:56:58.442,114258.7,0.001,BTCUSDT
2025-09-29 23:56:58.442,114258.8,0.002,BTCUSDT
2025-09-29 23:56:58.442,114258.8,0.002,BTCUSDT
2025-09-29 23:56:58.442,114258.9,0.001,BTCUSDT
2025-09-29 23:56:58.442,114258.9,0.003,BTCUSDT
2025-09-29 23:56:58.442,114259.1,0.001,BTCUSDT
2025-09-29 23:56:58.442,114259.1,0.033,BTCUSDT
2025-09-29 23:56:58.442,114259.1,0.053,BTCUSDT
2025-09-29 23:56:58.442,114259.1,0.003,BTCUSDT
2025-09-29 23:56:58.442,114259.2,0.001,BTCUSDT
2025-09-29 23:56:58.442,114259.2,0.002,BTCUSDT
2025-09-29 23:56:58.467,114259.5,0.002,BTCUSDT
2025-09-29 23:56:58.467,114259.5,0.001,BTCUSDT
2025-09-29 23:56:58.467,114259.5,0.001,BTCUSDT
2025-09-29 23:56:58.467,114259.5,0.001,BTCUSDT
2025-09-29 23:56:58.467,114259.8,0.001,BTCUSDT
2025-09-29 23:56:58.479,114259.8,0.001,BTCUSDT
2025-09-29 23:56:58.479,114259.8,0.001,BTCUSDT
2025-09-29 23:56:58.479,114259.8,0.001,BTCUSDT
2025-09-29 23:56:58.479,114259.8,0.001,BTCUSDT
2025-09-29 23:56:58.479,114259.8,0.001,BTCUSDT
2025-09-29 23:56:58.490,114259.8,0.001,BTCUSDT
2025-09-29 23:56:58.490,114259.9,0.001,BTCUSDT
2025-09-29 23:56:58.490,114259.9,0.112,BTCUSDT
2025-09-29 23:56:58.491,114259.9,0.027,BTCUSDT
2025-09-29 23:56:58.491,114259.9,0.015,BTCUSDT
2025-09-29 23:56:58.491,114259.9,0.181,BTCUSDT
